ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y
71,6,255,99.34523492048099,93.0,50.06103383541019,4,255,73.5363047905353,66.0,45.85563568344358,0,255,54.45639182505818,44.0,42.749782532881866,0.006874666666666667,164992,2533,0.323148668979049,1.1285714285714286,3416.4022740496507,1652.891946276183
72,7,255,128.65015824573302,137.0,60.846879786319434,0,255,115.84637730304058,123.0,63.483965013848746,0,255,74.54777325647112,70.0,48.48574799265993,0.0073725,176940,3019,0.2439549647531267,0.3108108108108108,3699.0143099355714,1451.2459364756414
73,5,255,135.72293625581418,142.0,56.91482763043282,0,255,118.43931877554364,125.0,61.89142409699763,0,255,91.79726654590802,87.0,60.60547157580654,0.018310166666666666,439444,4619,0.2588317082891413,0.9758064516129032,3663.2477130191787,1966.651077270369
74,6,255,128.26827255580005,130.0,47.53618934992456,3,255,108.82296005580007,108.0,53.56727055160387,1,255,76.27223406554542,69.0,45.67928054050975,0.016965333333333332,407168,3992,0.32107200311847295,1.1481481481481481,3375.6342345174476,1760.7671526249608
75,12,255,105.55332108164873,90.0,59.65607774506151,6,255,81.65403868031855,67.0,54.494725307105824,2,255,78.60267786820688,65.0,53.323136286219366,0.00476125,114270,2508,0.228290073058166,1.276190476190476,2973.2546425133455,2281.5175986698173
76,5,255,110.83375068520456,111.0,61.554675023247064,0,255,90.53487068321124,96.0,58.38615622612765,0,255,64.45392933672198,60.0,49.203196265409794,0.013378,321072,3156,0.40507767467778966,0.5343511450381679,3201.5142647132107,2150.691626800219
77,0,255,84.87350331362124,74.0,56.43332910992632,0,255,68.95140997069507,57.0,53.60675619955159,0,255,67.02446756862676,52.0,53.4191565666186,0.007123375,170961,3171,0.21365567335475316,1.1682242990654206,3151.10220459637,1700.1125695334024
78,0,255,84.15991308534143,72.0,60.52150962836234,1,255,73.16555909938876,55.0,57.559225680650094,0,255,44.343848058390144,30.0,40.83407674502841,0.019386833333333332,465284,6416,0.14203627428394783,1.2148148148148148,3077.894851316615,1798.8484194599428
79,4,255,85.31110408902556,86.0,60.530344353891365,3,255,65.12718263792969,59.0,48.82967500486502,0,255,44.00724179719059,26.0,44.88349078717169,0.012790333333333334,306968,4871,0.16257984662670882,1.7419871794871795,2440.9483203460945,2045.4045894034557
80,2,255,76.4423939560872,70.0,57.97136115149376,0,255,59.143382256499045,46.0,49.17503235619132,0,255,43.44553854830671,21.0,48.38407487797402,0.012707,304968,4420,0.19616413021426293,1.9565972222222223,2996.774140237664,1867.0641641090212
81,3,255,88.10591630514726,87.0,60.11675446258074,2,255,68.73323331592356,58.0,52.76957913598319,0,255,48.52152594945479,25.0,49.50401447955212,0.015636166666666666,375268,5504,0.1556662796939099,1.9243827160493827,2764.330771608557,1874.2526407793896
82,0,255,112.94482970687385,116.0,56.71495982213772,0,255,96.30270307206811,96.0,53.95494139550035,0,243,75.13899782992223,65.0,50.73854161327515,0.04024433333333333,965864,11751,0.08789743275327763,1.881188118811881,2735.334560559251,1940.844383888415
83,1,255,93.76569486293361,66.0,78.5587675342281,0,242,83.5069122211484,54.0,72.62943819410299,0,234,61.49863658227139,40.0,53.19102758397679,0.18745783333333332,4498988,11191,0.45142635191774666,1.6920415224913494,3196.9260767088067,2370.4136103497053
84,3,255,100.18287096586808,95.0,69.51829678158431,1,243,84.79046579753201,69.0,65.67095152522523,0,255,82.13378505099458,66.0,66.8795716506481,0.015821865720477002,241006,2396,0.5275505635921742,0.8833333333333333,2525.2900508701027,1038.0281071840534
